county,county_fips,evacuation_type,cbg_fips
harris,48201,voluntary,482012325001
harris,48201,voluntary,482012326001
harris,48201,voluntary,482012326002
harris,48201,voluntary,482012327011
harris,48201,voluntary,482012327012
harris,48201,voluntary,482012327013
harris,48201,voluntary,482012327021
harris,48201,voluntary,482012327022
harris,48201,voluntary,482012327023
harris,48201,voluntary,482012328001
harris,48201,voluntary,482012328002
harris,48201,voluntary,482012329001
harris,48201,voluntary,482012329002
harris,48201,voluntary,482012329003
harris,48201,voluntary,482012330011
harris,48201,voluntary,482012330012
harris,48201,voluntary,482012330021
harris,48201,voluntary,482012330022
harris,48201,voluntary,482012330031
harris,48201,voluntary,482012330032
harris,48201,voluntary,482012331011
harris,48201,voluntary,482012331012
harris,48201,voluntary,482012331013
harris,48201,voluntary,482012331021
harris,48201,voluntary,482012331022
harris,48201,voluntary,482012331023
harris,48201,voluntary,482012331031
harris,48201,voluntary,482012331032
harris,48201,voluntary,482012332001
harris,48201,voluntary,482012332002
harris,48201,voluntary,482012332003
harris,48201,voluntary,482012332004
harris,48201,voluntary,482012333001
harris,48201,voluntary,482012333002
harris,48201,voluntary,482012333003
harris,48201,voluntary,482012334001
harris,48201,voluntary,482012334002
harris,48201,voluntary,482012335001
harris,48201,voluntary,482012335002
harris,48201,voluntary,482012335003
harris,48201,voluntary,482012335004
harris,48201,voluntary,482012336001
harris,48201,voluntary,482012336002
harris,48201,voluntary,482012337011
harris,48201,voluntary,482012337012
harris,48201,voluntary,482012337021
harris,48201,voluntary,482012337022
harris,48201,voluntary,482012337023
harris,48201,voluntary,482012337031
harris,48201,voluntary,482012337032
harris,48201,voluntary,482012401001
harris,48201,voluntary,482012401002
harris,48201,voluntary,482012404001
harris,48201,voluntary,482012404002
harris,48201,voluntary,482012405011
harris,48201,voluntary,482012405012
harris,48201,voluntary,482012405021
harris,48201,voluntary,482012405022
harris,48201,voluntary,482012405023
harris,48201,voluntary,482012406001
harris,48201,voluntary,482012407011
harris,48201,voluntary,482012407012
harris,48201,voluntary,482012407021
harris,48201,voluntary,482012407022
harris,48201,voluntary,482012408011
harris,48201,voluntary,482012408012
harris,48201,voluntary,482012408013
harris,48201,voluntary,482012408014
harris,48201,voluntary,482012408021
harris,48201,voluntary,482012408022
harris,48201,voluntary,482012409011
harris,48201,voluntary,482012409012
harris,48201,voluntary,482012409021
harris,48201,voluntary,482012409022
harris,48201,voluntary,482012409023
harris,48201,voluntary,482012409024
harris,48201,voluntary,482012410001
harris,48201,voluntary,482012410002
harris,48201,voluntary,482012410003
harris,48201,voluntary,482012410004
harris,48201,voluntary,482012411011
harris,48201,voluntary,482012411012
harris,48201,voluntary,482012411021
harris,48201,voluntary,482012411022
harris,48201,voluntary,482012411023
harris,48201,voluntary,482012411024
harris,48201,voluntary,482012411025
harris,48201,voluntary,482012411031
harris,48201,voluntary,482012411032
harris,48201,voluntary,482012412001
harris,48201,voluntary,482012412002
harris,48201,voluntary,482012412003
harris,48201,voluntary,482012413001
harris,48201,voluntary,482012413002
harris,48201,voluntary,482012413003
harris,48201,voluntary,482012414001
harris,48201,voluntary,482012414002
harris,48201,voluntary,482012414003
harris,48201,voluntary,482012415001
harris,48201,voluntary,482012415002
harris,48201,voluntary,482012415003
harris,48201,voluntary,482012415004
harris,48201,voluntary,482012501001
harris,48201,voluntary,482012501002
harris,48201,voluntary,482012501003
harris,48201,voluntary,482012502001
harris,48201,voluntary,482012502002
harris,48201,voluntary,482012503011
harris,48201,voluntary,482012503012
harris,48201,voluntary,482012503021
harris,48201,voluntary,482012503022
harris,48201,voluntary,482012503023
harris,48201,voluntary,482012504011
harris,48201,voluntary,482012504012
harris,48201,voluntary,482012504021
harris,48201,voluntary,482012504022
harris,48201,voluntary,482012504023
harris,48201,voluntary,482012505001
harris,48201,voluntary,482012505002
harris,48201,voluntary,482012506001
harris,48201,voluntary,482012506002
harris,48201,voluntary,482012506003
harris,48201,voluntary,482012506004
harris,48201,voluntary,482012506005
harris,48201,voluntary,482012507011
harris,48201,voluntary,482012507012
harris,48201,voluntary,482012507013
harris,48201,voluntary,482012507021
harris,48201,voluntary,482012507022
harris,48201,voluntary,482012508001
harris,48201,voluntary,482012508002
harris,48201,voluntary,482012508003
harris,48201,voluntary,482012509001
harris,48201,voluntary,482012509002
harris,48201,voluntary,482012509003
harris,48201,voluntary,482012509004
harris,48201,voluntary,482012510001
harris,48201,voluntary,482012510002
harris,48201,voluntary,482012511001
harris,48201,voluntary,482012511002
harris,48201,voluntary,482012511003
harris,48201,voluntary,482012511004
harris,48201,voluntary,482012511005
harris,48201,voluntary,482012512001
harris,48201,voluntary,482012512002
harris,48201,voluntary,482012512003
harris,48201,voluntary,482012513001
harris,48201,voluntary,482012513002
harris,48201,voluntary,482012513003
harris,48201,voluntary,482012513004
harris,48201,voluntary,482012513005
harris,48201,voluntary,482012514011
harris,48201,voluntary,482012514021
harris,48201,voluntary,482012514022
harris,48201,voluntary,482012514023
harris,48201,voluntary,482012515011
harris,48201,voluntary,482012515021
harris,48201,voluntary,482012515022
harris,48201,voluntary,482012515023
harris,48201,voluntary,482012515024
harris,48201,voluntary,482012515025
harris,48201,voluntary,482012515026
harris,48201,voluntary,482012515031
harris,48201,voluntary,482012516001
harris,48201,voluntary,482012516002
harris,48201,voluntary,482012517001
harris,48201,voluntary,482012517002
harris,48201,voluntary,482012517003
